3921	23332
3921	22314
9886	9706
9886	3921
9886	22314
6701	9706
6701	9886
12059	19624
4501	66
9452	1686
6195	66
7508	10938
19424	9452
19424	1686
259	10000
6095	10485
6892	7316
19920	17276
328	1193
17810	14462
7854	22694
17497	14403
12197	7854
10255	1623
5979	7854
2732	24939
13371	21140
6421	13371
15278	21140
5684	24750
2093	259
12771	24721
19311	22329
3294	13371
5592	21140
2760	21554
20265	21140
12772	8875
13551	10790
8399	21140
2835	6252
23030	11824
18685	20226
24777	9886
24777	9706
24777	6701
24777	3921
21004	5086
18806	5086
18806	21004
5876	5086
5876	21004
5876	18806
7908	21240
6316	12734
14208	12365
18657	5307
18011	12089
21632	14697
3229	5187
1651	8875
21856	12670
16879	328
25093	25123
5320	444
20030	25123
8721	25093
14318	11824
17751	19004
3561	21269
23333	490
530	407
22673	1121
21785	8704
4049	24
537	6134
5365	21555
5365	10497
10341	537
10341	25025
7199	20544
3729	2243
2180	22311
5270	5365
3443	21140
5879	13371
16948	14053
1221	4286
19158	487
15978	16469
4225	16442
555	16276
11755	16570
7601	10559
24322	4676
19105	18657
17439	21633
18370	8706
2522	5365
6160	3260
6160	7708
577	1837
17998	15978
589	502
11129	20874
4637	5853
1515	4770
9903	573
609	16276
609	555
7385	7465
11743	306
7091	14575
11408	4676
11408	24322
15605	11408
12581	24711
16958	5681
8227	23777
16882	1312
2973	2551
7630	552
23082	5187
23082	3229
23082	7360
23082	24095
22318	432
15930	5854
12046	2732
12046	24939
17964	523
3545	11515
14718	577
14718	1837
20802	4613
3586	13732
24169	11452
18396	14521
14960	5853
14960	4637
15504	11874
11612	20898
16198	556
13471	22335
13628	583
635	2932
1888	19132
1098	19199
11531	8704
11531	21785
12888	22444
5746	602
637	8750
640	12144
18475	11883
9491	2310
23778	2052
21417	2835
21417	11612
6490	5307
644	16904
6674	12491
14992	3607
17681	14992
17681	3607
16006	21951
16006	13748
2919	10497
20813	2973
23083	21554
22902	9534
648	5043
12872	16923
1301	3667
24213	2244
17277	537
22411	10860
17121	5365
17121	21820
24749	545
1127	19561
1127	10626
656	15576
10272	2514
6197	10189
9863	8704
22810	2244
22810	1935
22810	24213
20377	451
22430	9041
3593	7630
662	3593
662	7630
662	552
3743	12467
1313	6714
6238	1313
6238	6714
2095	1313
2095	6238
2095	6714
669	556
5660	22318
3372	638
12468	21009
24829	22826
11017	9508
22784	20975
6560	5270
12060	10987
23267	13628
23267	583
15556	24886
15556	5754
15556	24829
3731	15556
3731	5754
5753	15556
5753	3731
5753	5754
5753	24829
16889	10341
8228	16889
17307	16889
17307	8228
17307	17277
20479	16006
8337	22444
3674	23284
12366	20813
9391	23083
9391	12268
18704	9550
677	23333
1054	4091
3772	23137
10321	12540
20331	20200
20331	5734
20295	8243
13805	562
20391	8425
14151	2522
15980	15978
6923	1054
6923	4091
19231	13090
21585	23528
687	19518
14402	23780
686	530
686	407
3872	18242
7956	4431
7985	20778
1302	650
6036	6316
693	23047
22890	20391
22890	8425
25082	12366
6688	16469
6688	13063
20971	21734
20971	15101
23084	6050
18253	2973
18253	20813
18253	2551
18253	12366
11502	24416
7160	9188
